,Date,Team,Acquired,Relinquished,Notes
4248,2021-12-19,Grizzlies,,Ziaire Williams,placed on IL with NBA health and safety protocols
4249,2021-12-19,Hawks,,Trae Young,placed on IL with NBA health and safety protocols
4250,2021-12-19,Hornets,,Cody Martin,placed on IL with NBA health and safety protocols
4251,2021-12-19,Hornets,,J.T. Thor,placed on IL
4252,2021-12-19,Hornets,,Kai Jones,placed on IL
4253,2021-12-19,Hornets,,Vernon Carey Jr.,placed on IL
4254,2021-12-19,Lakers,,Kent Bazemore,placed on IL with NBA health and safety protocols
4255,2021-12-19,Lakers,Trevor Ariza,,activated from IL
4256,2021-12-19,Mavericks,,Frank Ntilikina,placed on IL with illness
4257,2021-12-19,Mavericks,,Josh Green,placed on IL with NBA health and safety protocols
4258,2021-12-19,Mavericks,JaQuori McLaughlin,,activated from IL
4259,2021-12-19,Mavericks,Sterling Brown,,activated from IL
4260,2021-12-19,Spurs,,Doug McDermott,placed on IL with tooth infection
4261,2021-12-19,Timberwolves,,Josh Okogie,placed on IL with NBA health and safety protocols
4262,2021-12-19,Warriors,,Andrew Wiggins,placed on IL with NBA health and safety protocols
4263,2021-12-19,Warriors,Draymond Green,,activated from IL
4264,2021-12-19,Warriors,Otto Porter Jr.,,activated from IL
4265,2021-12-20,Bulls,,Derrick Jones Jr.,placed on IL with strained left hamstring
4266,2021-12-20,Celtics,Dennis Schröder,,activated from IL
4267,2021-12-20,Clippers,,Jay Scrubb,placed on IL
4268,2021-12-20,Clippers,Paul George,,activated from IL
4269,2021-12-20,Grizzlies,,Tyus Jones,placed on IL with finger injury
4270,2021-12-20,Grizzlies,Ja Morant,,activated from IL
4271,2021-12-20,Jazz,,Miye Oni,placed on IL with sprained right ankle
4272,2021-12-20,Mavericks,,Maximilian Kleber / Maxi Kleber,placed on IL with NBA health and safety protocols
4273,2021-12-20,Mavericks,Frank Ntilikina,,activated from IL
4274,2021-12-20,Pacers,Malcolm Brogdon,,activated from IL
4275,2021-12-20,Raptors,,Gary Trent Jr.,placed on IL with NBA health and safety protocols
4276,2021-12-20,Rockets,Armoni Brooks,,activated from IL
4277,2021-12-20,Spurs,Doug McDermott,,activated from IL
4278,2021-12-20,Timberwolves,,Jarred Vanderbilt,placed on IL with NBA health and safety protocols
4279,2021-12-20,Timberwolves,,Patrick Beverley,placed on IL with NBA health and safety protocols
4280,2021-12-20,Warriors,Stephen Curry,,activated from IL
4281,2021-12-21,Blazers,,Nassir Little,placed on IL with illness
4282,2021-12-21,Bucks,Khris Middleton,,activated from IL
4283,2021-12-21,Bucks,Rodney Hood,,activated from IL
4284,2021-12-21,Bucks,Wesley Matthews / Wes Matthews Jr.,,activated from IL
4285,2021-12-21,Bulls,,Alex Caruso,placed on IL with sprained left foot
4286,2021-12-21,Cavaliers,,Ed Davis (Adam),placed on IL with NBA health and safety protocols
4287,2021-12-21,Hawks,,Clint Capela,placed on IL with NBA health and safety protocols
4288,2021-12-21,Hawks,,Danilo Gallinari,placed on IL with NBA health and safety protocols
4289,2021-12-21,Kings,,Neemias Queta,placed on IL with NBA health and safety protocols
4290,2021-12-21,Knicks,,Derrick Rose,placed on IL with sore right ankle (out for season)
4291,2021-12-21,Knicks,,Miles McBride,placed on IL with NBA health and safety protocols
4292,2021-12-21,Knicks,Jericho Sims,,activated from IL
4293,2021-12-21,Lakers,,Anthony Davis,placed on IL with sprained MCL in left knee
4294,2021-12-21,Lakers,Dwight Howard,,activated from IL
4295,2021-12-21,Lakers,Talen Horton-Tucker,,activated from IL
4296,2021-12-21,Mavericks,,Kristaps Porzingis,placed on IL with toe injury
4297,2021-12-21,Mavericks,,Tim Hardaway Jr.,placed on IL with NBA health and safety protocols
4298,2021-12-21,Pistons,,Killian Hayes,placed on IL with illness
4299,2021-12-21,Raptors,,Fred VanVleet,placed on IL with NBA health and safety protocols
4300,2021-12-21,Raptors,,Malachi Flynn,placed on IL with NBA health and safety protocols
4301,2021-12-21,Raptors,,Precious Achiuwa,placed on IL with NBA health and safety protocols
4302,2021-12-21,Raptors,,Scottie Barnes,placed on IL with NBA health and safety protocols
4303,2021-12-21,Timberwolves,McKinley Wright IV,,activated from IL
4304,2021-12-21,Wizards,,Kentavious Caldwell-Pope,placed on IL with NBA health and safety protocols
4305,2021-12-21,Pelicans,Daulton Hommes,,activated from IL
4306,2021-12-22,76ers,,Danny Green,placed on IL with NBA health and safety protocols
4307,2021-12-22,76ers,Furkan Korkmaz,,activated from IL
4308,2021-12-22,76ers,Jaden Springer,,activated from IL
4309,2021-12-22,Bucks,,Sandro Mamukelashvili,placed on IL with illness
4310,2021-12-22,Clippers,,Isaiah Hartenstein,placed on IL with sprained left ankle
4311,2021-12-22,Clippers,,Luke Kennard,placed on IL with right hip injury
4312,2021-12-22,Clippers,,Reggie Jackson (Shon),placed on IL with NBA health and safety protocols
4313,2021-12-22,Clippers,Jay Scrubb,,activated from IL
4314,2021-12-22,Hawks,,Kevin Huerter,placed on IL with NBA health and safety protocols
4315,2021-12-22,Hawks,,Louis Williams / Lou Williams,placed on IL with NBA health and safety protocols
4316,2021-12-22,Hawks,,Timothe Luwawu-Cabarrot,placed on IL with NBA health and safety protocols
4317,2021-12-22,Hawks,Bogdan Bogdanovic,,activated from IL
4318,2021-12-22,Kings,Richaun Holmes,,activated from IL
4319,2021-12-22,Knicks,,Nerlens Noel,placed on IL with NBA health and safety protocols
4320,2021-12-22,Knicks,Obi Toppin,,activated from IL
4321,2021-12-22,Magic,,Mychal Mulder,placed on IL with NBA health and safety protocols
4322,2021-12-22,Mavericks,,Luka Doncic,placed on IL with NBA health and safety protocols
4323,2021-12-22,Mavericks,,Trey Burke,placed on IL with NBA health and safety protocols
4324,2021-12-22,Nuggets,JaMychal Green,,activated from IL
4325,2021-12-22,Pistons,,Cade Cunningham,placed on IL with NBA health and safety protocols
4326,2021-12-22,Pistons,Killian Hayes,,activated from IL
4327,2021-12-22,Raptors,,Ogugua Anunoby / O.G. Anunoby,placed on IL with NBA health and safety protocols
4328,2021-12-22,Warriors,,Andre Iguodala,placed on IL with sore right knee
4329,2021-12-22,Warriors,,Damion Lee,placed on IL with NBA health and safety protocols
4330,2021-12-23,Bulls,Alize Johnson,,activated from IL
4331,2021-12-23,Bulls,Ayo Dosunmu,,activated from IL
4332,2021-12-23,Bulls,Matt Thomas,,activated from IL
4333,2021-12-23,Bulls,Zach LaVine,,activated from IL
4334,2021-12-23,Celtics,,Enes Freedom / Enes Kanter,placed on IL with NBA health and safety protocols
4335,2021-12-23,Grizzlies,,Jarrett Culver,placed on IL with NBA health and safety protocols
4336,2021-12-23,Grizzlies,Tyus Jones,,activated from IL
4337,2021-12-23,Hawks,,Sharife Cooper,placed on IL with NBA health and safety protocols
4338,2021-12-23,Jazz,Miye Oni,,activated from IL
4339,2021-12-23,Knicks,Quentin Grimes,,activated from IL
4340,2021-12-23,Lakers,,Trevor Ariza,placed on IL with NBA health and safety protocols
4341,2021-12-23,Mavericks,,JaQuori McLaughlin,placed on IL with NBA health and safety protocols
4342,2021-12-23,Nets,,Cameron Thomas / Cam Thomas,placed on IL with NBA health and safety protocols
4343,2021-12-23,Nets,,David Duke Jr.,placed on IL with NBA health and safety protocols
4344,2021-12-23,Nets,,Kessler Edwards,placed on IL with NBA health and safety protocols
4345,2021-12-23,Nets,James Harden,,activated from IL
4346,2021-12-23,Nets,Jevon Carter,,activated from IL
4347,2021-12-23,Nets,Paul Millsap,,activated from IL
4348,2021-12-23,Nuggets,,Aaron Gordon,placed on IL with left hamstring injury
4349,2021-12-23,Pacers,,Domantas Sabonis,placed on IL with right calf injury
4350,2021-12-23,Pacers,,Malcolm Brogdon,placed on IL with sore right Achilles
4351,2021-12-23,Pelicans,,Naji Marshall,placed on IL with NBA health and safety protocols
4352,2021-12-23,Pelicans,,Nickeil Alexander-Walker,placed on IL with NBA health and safety protocols
4353,2021-12-23,Pistons,,Isaiah Stewart,placed on IL with NBA health and safety protocols
4354,2021-12-23,Pistons,,Killian Hayes,placed on IL with NBA health and safety protocols
4355,2021-12-23,Pistons,,Rodney McGruder,placed on IL with NBA health and safety protocols
4356,2021-12-23,Pistons,,Saben Lee,placed on IL with NBA health and safety protocols
4357,2021-12-23,Rockets,Jalen Green,,activated from IL
4358,2021-12-23,Timberwolves,,Karl-Anthony Towns,placed on IL with NBA health and safety protocols
4359,2021-12-23,Timberwolves,,McKinley Wright IV,placed on IL with NBA health and safety protocols
4360,2021-12-23,Wizards,,Bradley Beal,placed on IL with NBA health and safety protocols
4361,2021-12-23,Hornets,,J.T. Thor,player not with team
4362,2021-12-23,Hornets,,Kai Jones,player not with team (DTD)
4363,2021-12-24,Blazers,,Dennis Smith Jr.,placed on IL with NBA health and safety protocols
4364,2021-12-24,Blazers,,Trendon Watford,placed on IL with NBA health and safety protocols
4365,2021-12-24,Bucks,Bobby Portis,,activated from IL
4366,2021-12-24,Bucks,Giannis Antetokounmpo,,activated from IL
4367,2021-12-24,Celtics,,Aaron Nesmith,placed on IL with NBA health and safety protocols
4368,2021-12-24,Celtics,,Bruno Fernando,placed on IL with NBA health and safety protocols
4369,2021-12-24,Celtics,,C.J. Miles,placed on IL with NBA health and safety protocols
4370,2021-12-24,Celtics,,Justin Jackson (Aaron),placed on IL with NBA health and safety protocols
4371,2021-12-24,Hawks,,Onyeka Okongwu,placed on IL with NBA health and safety protocols
4372,2021-12-24,Hawks,,Wesley Iwundu / Wes Iwundu,placed on IL with NBA health and safety protocols
4373,2021-12-24,Heat,,Dewayne Dedmon,placed on IL with sprained MCL in left knee
4374,2021-12-24,Heat,Caleb Martin,,activated from IL
4375,2021-12-24,Nets,James Johnson,,activated from IL
4376,2021-12-24,Nets,Nicolas Claxton / Nic Claxton,,activated from IL
4377,2021-12-24,Warriors,,Moses Moody,placed on IL with NBA health and safety protocols
4378,2021-12-25,Blazers,,Ben McLemore,placed on IL with NBA health and safety protocols
4379,2021-12-25,Blazers,,Robert Covington,placed on IL with NBA health and safety protocols
4380,2021-12-25,Bucks,Donte DiVincenzo,,activated from IL
4381,2021-12-25,Cavaliers,,Cedi Osman,placed on IL with NBA health and safety protocols
4382,2021-12-25,Celtics,,Dennis Schröder,placed on IL with NBA health and safety protocols
4383,2021-12-25,Celtics,Brodric Thomas,,activated from IL
4384,2021-12-25,Celtics,Jabari Parker,,activated from IL
4385,2021-12-25,Celtics,Juancho Hernangomez / Juan Hernangomez,,activated from IL
4386,2021-12-25,Clippers,,Paul George,placed on IL with torn ligament in right elbow
4387,2021-12-25,Clippers,Luke Kennard,,activated from IL
4388,2021-12-25,Hawks,Clint Capela,,activated from IL
4389,2021-12-25,Heat,,Kyle Lowry,placed on IL with NBA health and safety protocols
4390,2021-12-25,Kings,Terence Davis,,activated from IL
4391,2021-12-25,Knicks,,Jericho Sims,placed on IL with NBA health and safety protocols
4392,2021-12-25,Knicks,R.J. Barrett,,activated from IL
4393,2021-12-25,Lakers,Avery Bradley,,activated from IL
4394,2021-12-25,Lakers,Malik Monk,,activated from IL
4395,2021-12-25,Magic,R.J. Hampton,,activated from IL
4396,2021-12-25,Mavericks,,Dorian Finney-Smith,placed on IL with illness
4397,2021-12-25,Mavericks,Kristaps Porzingis,,activated from IL
4398,2021-12-25,Pistons,,Trey Lyles,placed on IL with NBA health and safety protocols
4399,2021-12-25,Timberwolves,,D'Angelo Russell,placed on IL with NBA health and safety protocols
4400,2021-12-25,Blazers,,Keljin Blevins,placed on IL with NBA health and safety protocols
4401,2021-12-26,76ers,Georges Niang,,activated from IL
4402,2021-12-26,Blazers,,Jusuf Nurkic,placed on IL with NBA health and safety protocols
4403,2021-12-26,Blazers,Nassir Little,,activated from IL
4404,2021-12-26,Bulls,,Lonzo Ball,placed on IL with NBA health and safety protocols
4405,2021-12-26,Bulls,,Tony Bradley,placed on IL with NBA health and safety protocols
4406,2021-12-26,Bulls,Troy Brown Jr.,,activated from IL
4407,2021-12-26,Cavaliers,Ruben Nembhard / R.J. Nembhard Jr.,,activated from IL
4408,2021-12-26,Celtics,Al Horford,,activated from IL
4409,2021-12-26,Clippers,,Jay Scrubb,placed on IL with NBA health and safety protocols
4410,2021-12-26,Grizzlies,,De'Anthony Melton,placed on IL with NBA health and safety protocols
4411,2021-12-26,Grizzlies,,Dillon Brooks,placed on IL with NBA health and safety protocols
4412,2021-12-26,Grizzlies,,Yves Pons,placed on IL with NBA health and safety protocols
4413,2021-12-26,Grizzlies,Brandon Clarke,,activated from IL
4414,2021-12-26,Hawks,,Jalen Johnson,placed on IL with NBA health and safety protocols
4415,2021-12-26,Hawks,,John Collins (Martin),placed on IL with NBA health and safety protocols
4416,2021-12-26,Heat,,P.J. Tucker,placed on IL with left leg injury
4417,2021-12-26,Heat,Jimmy Butler,,activated from IL
4418,2021-12-26,Hornets,,Miles Bridges,placed on IL with NBA health and safety protocols
4419,2021-12-26,Hornets,,P.J. Washington,placed on IL with NBA health and safety protocols
4420,2021-12-26,Jazz,,Donovan Mitchell,placed on IL with strained lower back
4421,2021-12-26,Kings,De'Aaron Fox,,activated from IL
4422,2021-12-26,Kings,Louis King,,activated from IL
4423,2021-12-26,Kings,Marvin Bagley III,,activated from IL
4424,2021-12-26,Lakers,,Rajon Rondo,placed on IL with NBA health and safety protocols
4425,2021-12-26,Magic,,B.J. Johnson,placed on IL with NBA health and safety protocols
4426,2021-12-26,Magic,,Chuma Okeke,placed on IL with NBA health and safety protocols
4427,2021-12-26,Magic,,Cole Anthony,placed on IL with sprained right ankle
4428,2021-12-26,Mavericks,Dorian Finney-Smith,,activated from IL
4429,2021-12-26,Pacers,,Jeremy Lamb,placed on IL with sore right wrist
4430,2021-12-26,Pacers,Domantas Sabonis,,activated from IL
4431,2021-12-26,Pelicans,,Jared Harper,placed on IL
4432,2021-12-26,Pelicans,,Jonas Valanciunas,placed on IL with illness
4433,2021-12-26,Pelicans,Jared Harper,,activated from IL
4434,2021-12-26,Pistons,,Cory Joseph,placed on IL with NBA health and safety protocols
4435,2021-12-26,Pistons,,Josh Jackson,placed on IL with NBA health and safety protocols
4436,2021-12-26,Raptors,,Isaac Bonga,placed on IL with NBA health and safety protocols
4437,2021-12-26,Raptors,Dalano Banton,,activated from IL
4438,2021-12-26,Rockets,,D.J. Augustine,placed on IL with NBA health and safety protocols
4439,2021-12-26,Rockets,,Garrison Mathews,placed on IL with NBA health and safety protocols
4440,2021-12-26,Spurs,,Dejounte Murray,placed on IL with NBA health and safety protocols
4441,2021-12-26,Spurs,Devontae Cacok,,activated from IL
4442,2021-12-26,Suns,,Jae Crowder,placed on IL with NBA health and safety protocols
4443,2021-12-26,Thunder,,Darius Bazley,placed on IL with NBA health and safety protocols
4444,2021-12-26,Thunder,,Tre Mann,placed on IL with NBA health and safety protocols
4445,2021-12-26,Timberwolves,,Naz Reid,placed on IL with NBA health and safety protocols
4446,2021-12-26,Warriors,,Draymond Green,placed on IL with NBA health and safety protocols
4447,2021-12-26,Wizards,,Raulzinho Neto / Raul Neto,placed on IL with NBA health and safety protocols
4448,2021-12-26,Mavericks,Eugene Omoruyi,,activated from IL
4449,2021-12-26,Bulls,,Alfonzo McKinnie,placed on IL with NBA health and safety protocols
4450,2021-12-27,Celtics,,Jayson Tatum,placed on IL with NBA health and safety protocols
4451,2021-12-27,Celtics,,Marcus Smart,placed on IL with right hand injury
4452,2021-12-27,Celtics,Grant Williams,,activated from IL
4453,2021-12-27,Celtics,Sam Hauser,,activated from IL
4454,2021-12-27,Clippers,,Moses Wright,placed on IL with NBA health and safety protocols
4455,2021-12-27,Clippers,,Nicolas Batum,placed on IL with sprained right ankle
4456,2021-12-27,Clippers,Marcus Morris,,activated from IL
4457,2021-12-27,Hawks,,Delon Wright,placed on IL with NBA health and safety protocols
4458,2021-12-27,Hawks,Trae Young,,activated from IL
4459,2021-12-27,Hornets,,Scottie Lewis,placed on IL with NBA health and safety protocols
4460,2021-12-27,Hornets,Cody Martin,,activated from IL
4461,2021-12-27,Hornets,J.T. Thor,,activated from IL
4462,2021-12-27,Hornets,Kai Jones,,activated from IL
4463,2021-12-27,Hornets,Vernon Carey Jr.,,activated from IL
4464,2021-12-27,Knicks,Immanuel Quickley,,activated from IL
4465,2021-12-27,Magic,Ignas Brazdeikis / Iggy Brazdeikis,,activated from IL
4466,2021-12-27,Magic,Moritz Wagner / Moe Wagner,,activated from IL
4467,2021-12-27,Mavericks,Josh Green,,activated from IL
4468,2021-12-27,Rockets,,Jae'Sean Tate,placed on IL with NBA health and safety protocols
4469,2021-12-27,Rockets,,Kenyon Martin Jr. / K.J. Martin,placed on IL with NBA health and safety protocols
4470,2021-12-27,Rockets,Kevin Porter Jr.,,activated from IL
4471,2021-12-27,Suns,,Deandre Ayton,placed on IL with NBA health and safety protocols
4472,2021-12-27,Thunder,,Aleksej Pokusevski,placed on IL with NBA health and safety protocols
4473,2021-12-27,Thunder,,Jeremiah Robinson-Earl,placed on IL with NBA health and safety protocols
4474,2021-12-27,Timberwolves,Josh Okogie,,activated from IL
4475,2021-12-27,Warriors,Andrew Wiggins,,activated from IL
4476,2021-12-27,Wizards,,Aaron Holiday,placed on IL with NBA health and safety protocols
4477,2021-12-27,Wizards,,Anthony Gill,placed on IL with NBA health and safety protocols
4478,2021-12-27,Magic,B.J. Johnson,,activated from IL
4479,2021-12-28,Bucks,,Jordan Nwora,placed on IL
4480,2021-12-28,Bulls,,Ersan Ilyasova,placed on IL with NBA health and safety protocols
4481,2021-12-28,Cavaliers,,Darius Garland,placed on IL with NBA health and safety protocols
4482,2021-12-28,Cavaliers,Evan Mobley,,activated from IL
4483,2021-12-28,Cavaliers,Isaac Okoro,,activated from IL
4484,2021-12-28,Celtics,Josh Richardson,,activated from IL
4485,2021-12-28,Grizzlies,,John Konchar,placed on IL with NBA health and safety protocols
4486,2021-12-28,Hawks,,Bogdan Bogdanovic,placed on IL with NBA health and safety protocols
4487,2021-12-28,Hawks,,Gorgui Dieng,placed on IL with NBA health and safety protocols
4488,2021-12-28,Hawks,,Malik Ellison,placed on IL with NBA health and safety protocols
4489,2021-12-28,Heat,,Max Strus,placed on IL with NBA health and safety protocols
4490,2021-12-28,Heat,,Udonis Haslem,placed on IL with NBA health and safety protocols
4491,2021-12-28,Knicks,,Danuel House Jr.,placed on IL with finger injury
4492,2021-12-28,Knicks,,Matt Mooney,placed on IL
4493,2021-12-28,Knicks,,Wayne Selden Jr.,placed on IL with NBA health and safety protocols
4494,2021-12-28,Knicks,Kevin Knox II,,activated from IL
4495,2021-12-28,Knicks,Miles McBride,,activated from IL
4496,2021-12-28,Lakers,,Wayne Ellington,placed on IL with illness
4497,2021-12-28,Nuggets,,Monte Morris,placed on IL with sore left knee
4498,2021-12-28,Pacers,Jeremy Lamb,,activated from IL
4499,2021-12-28,Pelicans,,Brandon Ingram,placed on IL with sore left Achilles
4500,2021-12-28,Pelicans,,Josh Hart,placed on IL with sprained left ankle
4501,2021-12-28,Pelicans,Jonas Valanciunas,,activated from IL
4502,2021-12-28,Raptors,,Dalano Banton,placed on IL with bruised left knee
4503,2021-12-28,Raptors,,Justin Champagnie,placed on IL with health and safety protocols
4504,2021-12-28,Raptors,Gary Trent Jr.,,activated from IL
4505,2021-12-28,Raptors,Malachi Flynn,,activated from IL
4506,2021-12-28,Raptors,Pascal Siakam,,activated from IL
4507,2021-12-28,Thunder,,Derrick Favors,placed on IL with NBA health and safety protocols
4508,2021-12-28,Thunder,,Josh Giddey,placed on IL with NBA health and safety protocols
4509,2021-12-28,Timberwolves,Naz Reid,,activated from IL
4510,2021-12-28,Timberwolves,Patrick Beverley,,activated from IL
4511,2021-12-28,Warriors,Andre Iguodala,,activated from IL
4512,2021-12-28,Wizards,,Montrezl Harrell,placed on IL with NBA health and safety protocols
4513,2021-12-28,Wizards,,Rui Hachimura,placed on IL with NBA health and safety protocols
4514,2021-12-28,Celtics,Justin Jackson (Aaron),,activated from IL
4515,2021-12-29,Bulls,,Marko Simonovic,placed on IL with NBA health and safety protocols
4516,2021-12-29,Bulls,Derrick Jones Jr.,,activated from IL
4517,2021-12-29,Cavaliers,,Ricky Rubio,placed on IL with torn ACL in left knee (out for season)
4518,2021-12-29,Clippers,,Brandon Boston Jr. / B.J. Boston Jr.,placed on IL with NBA health and safety protocols
4519,2021-12-29,Grizzlies,Yves Pons,,activated from IL
4520,2021-12-29,Hawks,Wesley Iwundu / Wes Iwundu,,activated from IL
4521,2021-12-29,Heat,,Gabe Vincent,placed on IL with NBA health and safety protocols
4522,2021-12-29,Heat,,K.Z. Okpala,placed on IL with sprained right wrist
4523,2021-12-29,Heat,,P.J. Tucker,placed on IL with NBA health and safety protocols
4524,2021-12-29,Heat,,Zylan Cheatham,placed on IL with NBA health and safety protocols
4525,2021-12-29,Jazz,Malik Fitts,,activated from IL
4526,2021-12-29,Kings,Alex Len,,activated from IL
4527,2021-12-29,Kings,Davion Mitchell,,activated from IL
4528,2021-12-29,Lakers,Wayne Ellington,,activated from IL
4529,2021-12-29,Magic,,Robin Lopez,placed on IL with NBA health and safety protocols
4530,2021-12-29,Mavericks,,Boban Marjanovic,placed on IL with NBA health and safety protocols
4531,2021-12-29,Mavericks,,Brandon Knight,placed on IL with NBA health and safety protocols
4532,2021-12-29,Nets,Cameron Thomas / Cam Thomas,,activated from IL
4533,2021-12-29,Nets,Kevin Durant,,activated from IL
4534,2021-12-29,Nets,LaMarcus Aldridge,,activated from IL
4535,2021-12-29,Nuggets,Bol Bol,,activated from IL
4536,2021-12-29,Pacers,,Jeremy Lamb,placed on IL with NBA health and safety protocols
4537,2021-12-29,Spurs,,Devontae Cacok,placed on IL with NBA health and safety protocols
4538,2021-12-29,Suns,,Ishmail Wainright / Ish Wainright,placed on IL with sore lower back
4539,2021-12-29,Thunder,,Shai Gilgeous-Alexander,placed on IL with sore right ankle
4540,2021-12-29,Thunder,Derrick Favors,,activated from IL
4541,2021-12-29,Warriors,Jordan Poole,,activated from IL
4542,2021-12-29,Warriors,Moses Moody,,activated from IL
4543,2021-12-30,76ers,,Aaron Henry,placed on IL with illness
4544,2021-12-30,76ers,,Myles Powell,placed on IL with NBA health and safety protocols
4545,2021-12-30,76ers,,Tyler Johnson,placed on IL with NBA health and safety protocols
4546,2021-12-30,76ers,Andre Drummond,,activated from IL
4547,2021-12-30,76ers,Shake Milton,,activated from IL
4548,2021-12-30,Blazers,,Anfernee Simons,placed on IL with NBA health and safety protocols
4549,2021-12-30,Blazers,,Brandon Williams (b. 1975-02-27),placed on IL with NBA health and safety protocols
4550,2021-12-30,Blazers,Ben McLemore,,activated from IL
4551,2021-12-30,Blazers,Dennis Smith Jr.,,activated from IL
4552,2021-12-30,Bucks,,Semi Ojeleye,placed on IL with NBA health and safety protocols
4553,2021-12-30,Bucks,Jordan Nwora,,activated from IL
4554,2021-12-30,Cavaliers,Dylan Windler,,activated from IL
4555,2021-12-30,Cavaliers,Ed Davis (Adam),,activated from IL
4556,2021-12-30,Cavaliers,Lamar Stevens,,activated from IL
4557,2021-12-30,Celtics,Marcus Smart,,activated from IL
4558,2021-12-30,Clippers,,Ivica Zubac,placed on IL with NBA health and safety protocols
4559,2021-12-30,Grizzlies,,Xavier Tillman,placed on IL with NBA health and safety protocols
4560,2021-12-30,Hawks,Louis Williams / Lou Williams,,activated from IL
4561,2021-12-30,Heat,,Duncan Robinson,placed on IL with NBA health and safety protocols
4562,2021-12-30,Heat,,Marcus Garrett,placed on IL with NBA health and safety protocols
4563,2021-12-30,Jazz,Donovan Mitchell,,activated from IL
4564,2021-12-30,Kings,Neemias Queta,,activated from IL
4565,2021-12-30,Knicks,,Julius Randle,placed on IL with NBA health and safety protocols
4566,2021-12-30,Lakers,Austin Reaves,,activated from IL
4567,2021-12-30,Lakers,Kent Bazemore,,activated from IL
4568,2021-12-30,Magic,,Hassani Gravett,placed on IL with NBA health and safety protocols
4569,2021-12-30,Mavericks,,Isaiah Thomas,placed on IL with NBA health and safety protocols
4570,2021-12-30,Nets,David Duke Jr.,,activated from IL
4571,2021-12-30,Nuggets,,Jeff Green,placed on IL with NBA health and safety protocols
4572,2021-12-30,Nuggets,,Nah'Shon Hyland / Bones Hyland,placed on IL with NBA health and safety protocols
4573,2021-12-30,Nuggets,,Zeke Nnaji,placed on IL with NBA health and safety protocols
4574,2021-12-30,Pacers,,Chris Duarte,placed on IL with NBA health and safety protocols
4575,2021-12-30,Pacers,,Isaiah Jackson,placed on IL with NBA health and safety protocols
4576,2021-12-30,Pacers,,Malcolm Brogdon,placed on IL with NBA health and safety protocols
4577,2021-12-30,Pistons,,Frank Jackson,placed on IL with sprained right ankle
4578,2021-12-30,Raptors,Dalano Banton,,activated from IL
4579,2021-12-30,Raptors,Fred VanVleet,,activated from IL
4580,2021-12-30,Raptors,Khem Birch,,activated from IL
4581,2021-12-30,Raptors,Ogugua Anunoby / O.G. Anunoby,,activated from IL
4582,2021-12-30,Raptors,Precious Achiuwa,,activated from IL
4583,2021-12-30,Raptors,Scottie Barnes,,activated from IL
4584,2021-12-30,Rockets,,DeJon Jarreau,placed on IL with NBA health and safety protocols
4585,2021-12-30,Suns,,JaVale McGee,placed on IL with NBA health and safety protocols
4586,2021-12-30,Wizards,,Cassius Winston,placed on IL with NBA health and safety protocols
4587,2021-12-30,Wizards,,Davis Bertans,placed on IL with illness
4588,2021-12-30,Wizards,,Spencer Dinwiddie,placed on IL with NBA health and safety protocols
4589,2021-12-30,Wizards,Anthony Gill,,activated from IL
4590,2021-12-30,Wizards,Bradley Beal,,activated from IL
4591,2021-12-30,Wizards,Kentavious Caldwell-Pope,,activated from IL
4592,2021-12-30,Celtics,C.J. Miles,,activated from IL
4593,2021-12-31,Cavaliers,,Denzel Valentine,placed on IL
4594,2021-12-31,Cavaliers,Jarrett Allen,,activated from IL
4595,2021-12-31,Clippers,Reggie Jackson (Shon),,activated from IL
4596,2021-12-31,Grizzlies,,Shaq Buchanan,placed on IL with NBA health and safety protocols
4597,2021-12-31,Grizzlies,Santi Aldama,,activated from IL
4598,2021-12-31,Hawks,,Malcolm Hill,placed on IL with NBA health and safety protocols
4599,2021-12-31,Heat,Kyle Lowry,,activated from IL
4600,2021-12-31,Jazz,,Joe Ingles,placed on IL with strained lower back
4601,2021-12-31,Kings,,Terence Davis,placed on IL with sore left ankle
4602,2021-12-31,Lakers,Trevor Ariza,,activated from IL
4603,2021-12-31,Mavericks,Reggie Bullock,,activated from IL
4604,2021-12-31,Nets,Kessler Edwards,,activated from IL
4605,2021-12-31,Nuggets,,Monte Morris,placed on IL with NBA health and safety protocols
4606,2021-12-31,Pacers,,Kelan Martin,placed on IL with NBA health and safety protocols
4607,2021-12-31,Pelicans,,Jonas Valanciunas,placed on IL with NBA health and safety protocols
4608,2021-12-31,Pelicans,Naji Marshall,,activated from IL
4609,2021-12-31,Pelicans,Nickeil Alexander-Walker,,activated from IL
4610,2021-12-31,Raptors,,D.J. Wilson,placed on IL with NBA health and safety protocols
4611,2021-12-31,Raptors,,Scottie Barnes,placed on IL with right knee tendinitis
4612,2021-12-31,Raptors,Justin Champagnie,,activated from IL
4613,2021-12-31,Rockets,Jae'Sean Tate,,activated from IL
4614,2021-12-31,Rockets,Kenyon Martin Jr. / K.J. Martin,,activated from IL
4615,2021-12-31,Suns,Ishmail Wainright / Ish Wainright,,activated from IL
4616,2021-12-31,Thunder,,Jaylen Hoard,placed on IL
4617,2021-12-31,Thunder,Aleksej Pokusevski,,activated from IL
4618,2021-12-31,Thunder,Shai Gilgeous-Alexander,,activated from IL
4619,2021-12-31,Timberwolves,Anthony Edwards,,activated from IL
4620,2021-12-31,Timberwolves,Jarred Vanderbilt,,activated from IL
4621,2021-12-31,Timberwolves,Taurean Prince,,activated from IL
